Chemical_Group_Name,EC_No,CAS_No,Annex
"Thiram","205-286-2","137-26-8","Annex I Part 1
Annex I Part 2"
"Tolylfluanid","211-986-9","731-27-1","Annex I Part 1
Annex I Part 2"
"Toxaphene","232-283-3","8001-35-2","Annex I Part 3
Annex V Part 1"
"Tremolite","","77536-68-6",""
"Tri-n-butyl(1-propenyl)tin, cis + trans","","105494-65-3",""
"Tri-n-butylphenyltin","","960-16-7",""
"Triasulfuron","","82097-50-5","Annex I Part 1
Annex I Part 2"
"Triazophos","245-986-5","24017-47-8","Annex I Part 1"
"Tribenzyltin chloride","","3151-41-5",""
"Tributyl(3-methyl-2-butenyl)tin","","53911-92-5",""
"Tributyl[6-(tetrahydropyran-4-yloxy)pyrid-2-yl]stannane","","1007847-70-2",""
"Tributylethynylstannane","","994-89-8",""
"Tributylphenyltin","","960-16-7",""
"Tributyltin Compounds","","","Annex I Part 1
Annex I Part 3"
"Tributyltin benzoate","224-399-8","4342-36-3",""
"Tributyltin chloride","215-958-7","1461-22-9",""
"Tributyltin fluoride","217-847-9","1983-10-4",""
"Tributyltin linoleate","246-024-7","24124-25-2",""
"Tributyltin methacrylate","218-452-4","2155-70-6",""
"Tributyltin naphthenate","287-083-9","85409-17-2",""
"Tributyltin oxide","200-268-0","56-35-9",""
"Tricadmium diarsenide","234-484-1","12006-15-4",""
"Tricadmium diarsenide","234-484-1","12006-15-4",""
"Trichlorfon","200-149-3","52-68-6","Annex I Part 1
Annex I Part 3"
"Trichlorobenzene","204-428-0","120-82-1","Annex I Part 1"
"Triclosan","222-182-2","3380-34-5","Annex I Part 1
Annex I Part 2"
"Tricyclazole","255-559-5","41814-78-2","Annex I Part 1
Annex I Part 2"
"Tridemorph","246-347-3","24602-86-6","Annex I Part 1"
"Triflumuron","264-980-3","64628-44-0","Annex I Part 1"
"Trifluralin","216-428-8","1582-09-8","Annex I Part 1
Annex I Part 2"
"Trimethyltin chloride","213-917-8","1066-45-1",""
"Trimethyltin hydroxide","","56-24-6",""
"Triorganostannic compounds other than tributyltin compounds","","","Annex I Part 1
Annex I Part 2"
"Triphenylarsine","210-032-9","603-32-7",""
"Tripropyltin chloride","218-910-3","2279-76-7",""
"Tris (2,3-dibromopropyl) phosphate","204-799-9","126-72-7","Annex I Part 1
Annex I Part 3"
"Tris (2-chloroethyl) phosphate","204-118-5","115-96-8","Annex I Part 1
Annex I Part 2"
"Tris-aziridinyl-phosphinoxide","208-892-5","545-55-1","Annex I Part 1"
"Turpentine, Venice, sulfurized, reaction products with hydrogen tetrachloroaurate(-1), sulfurized turpentine oil and mercurous nitrate, mixed with mercurous oxide","293-784-0","91082-69-8",""
"Vamidothion","218-894-8","2275-23-2","Annex I Part 1"
"Vinclozolin","256-599-6","50471-44-8","Annex I Part 1
Annex I Part 2"
"Warfarin","201-377-6","81-81-2","Annex I Part 1"
"Waste solids, cadmium-electrolysis, thallium-rich","285-572-1","85117-20-0",""
"Wastewater, cadmium sulfate electrolytic, acid","273-721-3","69012-21-1",""
"Zinc chlorate","233-804-7","10361-95-2",""
"Zinc, [[(1-methyl-1,2-ethanediyl)bis[carbamodithioato]](2-)]-, homopolymer","","9016-72-2",""
"Zineb","235-180-1","12122-67-7","Annex I Part 1"
"Zircon, cadmium orange","309-029-6","99749-34-5",""
"Zircon, cadmium yellow","277-135-9","72968-34-4",""
"[(2-hydroxyethyl)amino]phenylmercury acetate","263-211-9","61792-06-1",""
"[(E)-ethene-1,2-diyldithiene-5,2-diyl]bis(trimethylstannane)","","477789-30-3",""
"[(octylsuccinyl)bis(oxy)]bis[tributylstannane]","266-955-2","67701-37-5",""
"[(phthaloylbis(oxy)]bis(tributylstannane)","225-327-8","4782-29-0",""
"[(terephthaloylbis(oxy)]bis(tributylstannane)","225-291-3","4756-53-0",""
"[(tetrachlorophthaloyl)bis(oxy)]bis(tributylstannane)","250-627-0","31430-86-1",""
"[1,1'-Biphenyl]-4,4'-diamine, 2,2'-dimethyl-N4,N4'-di-1-naphthalenyl-N4,N4'-diphenyl-","","495416-60-9",""
"[1,1'-Biphenyl]-4,4'-diamine, N4'-[4'-(diphenylamino)[1,1'-biphenyl]-4-yl]-N4,N4-diphenyl-","","167218-39-5",""
"[1,1'-Biphenyl]-4,4'-diamine, N4,N4'-bis(4-aminophenyl)-N4,N4'-diphenyl-","","155557-65-6",""
"[1,1'-Biphenyl]-4,4'-diamine, N4,N4'-bis(4-methoxyphenyl)-","","59131-00-9",""
"[1,1'-Biphenyl]-4,4'-diamine, N4,N4'-di-1-naphthalenyl-N4-phenyl-","","352359-43-4",""
"[1,1'-Biphenyl]-4,4'-diamine, N4,N4'-di-2-naphthalenyl-N4,N4'-diphenyl-","","139255-17-7",""
"[1,1'-Biphenyl]-4,4'-diamine, N4,N4'-di-9-phenanthrenyl-N4,N4'-diphenyl-","","182507-83-1",""
"[1,1'-Biphenyl]-4,4'-diamine, N4,N4,N4',N4'-tetra-1-naphthalenyl-","","186256-01-9",""
"[1,1'-Biphenyl]-4,4'-diamine, reaction products with 4-(6-methyl-2-benzothiazolyl)benzenamine, 4-(6-methyl[2,6'-bibenzothiazol]-2'-yl)benzenamine and sodium sulfide","290-814-4","90268-15-8",""
"[1,1'-biphenyl]-4,4'-diamine, reaction products with 1-methyl-2,4-dinitrobenzene and sodium sulfide (Na2(Sx))","215-424-3","1326-43-8",""
"[1,1'-biphenyl]-4,4'-diamine, reaction products with 4-(6-methyl-2-benzothiazolyl)benzenamine and sulfur","215-440-0","1326-75-6",""
"[1,1'-biphenyl]-4,4'-diamine, reaction products with 4-methyl-1,3-benzenediamine and sulfur","215-436-9","1326-63-2",""
"[1,​1'-​Biphenyl]​-​3,​3'-​diol, 4,​4'-​diamino-","","2373-98-0",""
"[1,​1'-​Biphenyl]​-​4,​4'-​diamine, 2,​2'-​bis(trifluoromethyl)​-","","341-58-2",""
"[1,​1'-​Biphenyl]​-​4,​4'-​diamine, 3,​3'-​dichloro-​N4,​N4'-​bis[(4-​methoxyphenyl)​methylene]​-","","3540-78-1",""
"[1,​1'-​Biphenyl]​-​4,​4'-​diamine, 3,​3'-​diethyl-​, hydrochloride (1:?)","","76787-89-8",""
"[1,​1'-​Biphenyl]​-​4,​4'-​diamine, N4,​N4'-​bis(3-​methylphenyl)​-​N4,​N4'-​diphenyl-","","65181-78-4",""
"[1,​1'-​Biphenyl]​-​4,​4'-​diamine, N4,​N4'-​bis(4-​methoxy-​2-​methylphenyl)​-​N4,​N4'-​diphenyl-","","169685-34-1",""
"[1,​1'-​Biphenyl]​-​4,​4'-​diamine, N4,​N4'-​bis(4-​methylphenyl)​-","","10311-61-2",""
"[1,​1'-​Biphenyl]​-​4,​4'-​diamine, N4,​N4'-​bis(4-​methylphenyl)​-​N4,​N4'-​diphenyl-","","20441-06-9",""
"[1,​1'-​Biphenyl]​-​4,​4'-​diamine, N4,​N4'-​bis(9,​9-​dimethyl-​9H-​fluoren-​2-​yl)​-​N4,​N4'-​diphenyl-","","361486-60-4",""
"[1,​1'-​Biphenyl]​-​4,​4'-​diamine, N4,​N4'-​bis([1,​1'-​biphenyl]​-​4-​yl)​-​N4,​N4'-​diphenyl-","","134008-76-7",""
"[1,​1'-​Biphenyl]​-​4,​4'-​diamine, N4,​N4'-​bis[4'-​(diphenylamino)​[1,​1'-​biphenyl]​-​4-​yl]​-​N4,​N4'-​diphenyl-","","167218-46-4",""
"[1,​1'-​Biphenyl]​-​4,​4'-​diamine, N4,​N4'-​bis[4-​(diphenylamino)​phenyl]​-​N4,​N4'-​di-​1-​naphthalenyl-","","910058-11-6",""
"[1,​1'-​Biphenyl]​-​4,​4'-​diamine, N4,​N4'-​bis[4-​(diphenylamino)​phenyl]​-​N4,​N4'-​diphenyl-","","209980-53-0",""
"[1,​1'-​Biphenyl]​-​4,​4'-​diamine, N4,​N4'-​di-​1-​naphthalenyl-","","152670-41-2",""
"[1,​1'-​Biphenyl]​-​4,​4'-​diamine, N4,​N4'-​di-​1-​naphthalenyl-​N4,​N4'-​di-​2-​naphthalenyl-","","374592-88-8",""
"[1,​1'-​Biphenyl]​-​4,​4'-​diamine, N4,​N4'-​di-​1-​naphthalenyl-​N4,​N4'-​diphenyl-","","123847-85-8",""
"[1,​1'-​Biphenyl]​-​4,​4'-​diamine, N4,​N4,​N4',​N4'-​tetra-​2-​naphthalenyl-","","141752-82-1",""
"[1,​1'-​Biphenyl]​-​4,​4'-​diamine, N4,​N4,​N4',​N4'-​tetrakis(4-​methoxyphenyl)​-","","122738-21-0",""
"[1,​1'-​Biphenyl]​-​4,​4'-​diamine, N4,​N4,​N4',​N4'-​tetrakis(4-​methylphenyl)​-","","76185-65-4",""
"[1,​1'-​Biphenyl]​-​4,​4'-​diamine, N4,​N4,​N4',​N4'-​tetrakis([1,​1'-​biphenyl]​-​4-​yl)​-","","164724-35-0",""
"[1,​1'-​Biphenyl]​-​4,​4'-​diamine, N4,​N4,​N4'-​triphenyl-","","167218-30-6",""
"[1,​1'-​Biphenyl]​-​4-​amine, N,​N-​dimethyl-​4'-​nitro-","","2143-87-5",""
"[1R-(1.alpha.,4a.beta.,4b.alpha.,10a.alpha.)]-tributyl[[[1,2,3,4,4a,4b,5,6,10,10a-decahydro-7-isopropyl-1,4a-dimethyl-1-phenanthryl]carbonyl]oxy]stannane","247-531-6","26239-64-5",""
"[1R-(1.alpha.,4a.beta.,4b.alpha.,7.beta.,10a.alpha.)]-tributyl[[(-1,2,3,4,4a,4b,5,6,7,9,10,10a-dodecahydro-1,4a,7-trihydroxy-7-vinyl-1-phenanthryl)carbonyl]oxy]stannane","306-138-0","96446-11-6",""
"[2,2',2''-nitrilotri(ethanol)-N,O,O',O'']phenylmercury lactate","245-581-3","23319-66-6",""
"[2,5-dichloro-3,6-dihydroxy-2,5-cyclohexadiene-1,4-dionato(2-)-O1,O6]mercury","251-672-9","33770-60-4",""
"[2-ethylhexyl hydrogen maleato-O']phenylmercury","248-559-1","27605-30-7",""
"[[1,1'-biphenyl]-4,4'-diyl]diammonium sulphate","208-520-1","531-86-2",""
"[[N,N'-ethylenebis[glycinato]](2-)-N,N',O,O']cadmium","249-987-1","29977-13-7",""
"[benzene-1,2,4,5-tetrayltetrakis(carbonyloxy)]tetrakis[tributylstannane]","225-831-8","5107-58-4",""
"[benzoato(2-)-C2,O1]mercury","227-228-5","5722-59-8",""
"[hexabutyl[μ-[sulphato(2-)-O,O'':O',O''']]ditin","247-634-6","26377-04-8",""
"[isopropylidenebis(p-phenyleneoxy)]bis[tributylstannane]","246-126-1","24291-51-8",""
"[mu-[(oxydiethylene but-2-enedioato)(2-)]]diphenyldimercury","301-791-8","94070-92-5",""
"[mu-[(oxydiethylene phthalato)(2-)]]diphenylmercury","301-792-3","94070-93-6",""
"[mu-[[4,4'-(oxydiethylene) bis(dodecenylsuccinato)](2-)]]diphenyldimercury","299-418-6","93882-20-3",""
"[mu-[metasilicato(2-)-O:O]]bis(2-methoxyethyl)dimercury","242-997-7","19367-79-4",""
"[mu-[orthoborato(2-)-O:O']]diphenyldimercury","228-465-7","6273-99-0",""
"[naphthoato(1-)-O]phenylmercury","250-736-3","31632-68-5",""
"[salicylato(2-)-O1,O2]mercury","227-760-8","5970-32-1",""
"acetamide, N-(2-methylphenyl)-, reaction products with [1,1'-biphenyl]-4,4'-diamine and sulfur, leuco derivatives","215-439-5","1326-73-4",""
"acetoxytrimethylplumbane","227-200-2","5711-19-3",""
"allyltributylstannane","246-494-3","24850-33-7",""
"allyltriphenylstannane","200-975-4","76-63-1",""
"aluminium arsenide","245-255-0","22831-42-1",""
"aminomercury chloride","233-335-8","10124-48-8",""
"amminephenylmercury(1+) acetate","245-006-6","22450-90-4",""
"ammonium 2-sec-butyl-4,6-dinitrophenolate","228-858-3","6365-83-9",""
"ammonium copper arsenate","251-151-6","32680-29-8",""
"ammonium dihydrogenarsenate","236-667-1","13462-93-6",""
"ammonium heptadecafluorooctanesulphonate","249-415-0","29081-56-9",""
"ammonium salt of DNOC","221-037-0","2980-64-5",""
"antimony arsenate","249-347-1","28980-47-4",""
"antimony, compound with cadmium (2:3)","234-596-0","12014-29-8",""
"antimony, compound with lead (1:1)","235-536-6","12266-38-5",""
"arsanilic acid","202-674-3","98-50-0",""
"arsenic acid","231-901-9","7778-39-4",""
"arsenic acid, calcium salt","233-287-8","10103-62-5",""
"arsenic acid, copper salt","233-286-2","10103-61-4",""
"arsenic acid, copper(2+) salt","249-916-4","29871-13-4",""
"arsenic acid, magnesium salt","233-285-7","10103-50-1",""
"arsenic acid, sodium salt","231-547-5","7631-89-2",""
"arsenic sulfide","215-117-4","1303-33-9",""
"arsenic tribromide","232-057-4","7784-33-0",""
"arsenic trichloride","232-059-5","7784-34-1",""
"arsenic triiodide","232-068-4","7784-45-4",""
"barium cadmium tetrastearate","214-740-9","1191-79-3",""
"barium tetraiodomercurate","233-160-7","10048-99-4",""
"basic phenylmercury nitrate","","8003-05-2",""
"benzidine","202-199-1","92-87-5",""
"benzidine acetate","252-984-8","36341-27-2",""
"benzidine dihydrochloride","208-519-6","531-85-1",""
"benzidine sulphate","244-236-4","21136-70-9",""
"benzidine-2,2'-disulphonic acid","204-200-0","117-61-3",""
"benzyltriphenylphosphonium tetrachlorocadmate","269-289-0","68214-25-5",""
"biphenyl-4-ylamine","202-177-1","92-67-1",""
"bis(2,2,6,6-tetramethyl-3,5-heptanedionato)lead(II)","","21319-43-7",""
"bis(2-ethylhexyl mercaptoacetato -O',S)cadmium","299-281-2","93858-50-5",""
"bis(2-hydroxyethyl)ammonium 2,4,5-trichlorophenoxyacetate","229-138-1","6417-43-2",""
"bis(5-oxo-DL-prolinato-N1,O2)cadmium","289-081-3","85994-31-6",""
"bis(5-oxo-DL-prolinato-N1,O2)mercury","304-523-8","94276-38-7",""
"bis(5-oxo-L-prolinato-N1,O2)cadmium","288-974-5","85958-86-7",""
"bis(5-oxo-L-prolinato-N1,O2)mercury","305-388-8","94481-62-6",""
"bis(acetato-O)[.mu.-(3',6'-dihydroxy-3-oxospiro[isobenzofuran-1(3H),9'-[9H]xanthene]-2',7'-diyl)]dimercury","222-673-1","3570-80-7",""
"bis(acetato-O)[mu-[1,3-dioxane-2,5-diylbis(methylene)-C:C',O,O']]dimercury","281-717-8","84029-43-6",""
"bis(dibutyldithiocarbamato-S,S')cadmium","238-609-0","14566-86-0",""
"bis(diethyldithiocarbamato-S,S')lead","241-534-6","17549-30-3",""
"bis(dimethyldithiocarbamato-S,S')cadmium","239-026-4","14949-60-1",""
"bis(ethylenediamine)cadmium(2+) bis[dicyanoaurate(1-)]","242-708-4","18974-20-4",""
"bis(lactato-O1,O2)mercury","242-667-2","18917-83-4",""
"bis(pentane-2,4-dionato-O,O')boron(1+) hexafluoroarsenate(1-)","272-591-5","68892-01-3",""
"bis(pentane-2,4-dionato-O,O')cadmium","238-730-9","14689-45-3",""
"bis(pentane-2,4-dionato-O,O')lead","239-323-9","15282-88-9",""
"bis(propane-1,2-diyldiamine-N,N')cadmium(2+) bis[bis(cyano-C)aurate(1-)]","267-692-6","67906-19-8",""
"bis(trichloromethyl)mercury","229-867-5","6795-81-9",""
"bis[(+)-lactato]mercury","251-657-7","33724-17-3",""
"bis[(2-ethyl-1-oxohexyl)oxy]dioctylstannane","246-325-3","24577-34-2",""
"bis[(trimethylsilyl)methyl]mercury","236-315-7","13294-23-0",""
"bis[N,N-bis(carboxymethyl)glycinato(3-)]tricadmium","256-679-0","50648-02-7",""
"bromo(2-hydroxypropyl)mercury","242-613-8","18832-83-2",""
"bromoethylmercury","203-477-5","107-26-6",""
"bromomethylmercury","208-057-5","506-83-2",""
"bromophenylmercury","214-760-8","1192-89-8",""
"bromotrimethylstannane","213-916-2","1066-44-0",""
"butyl (Z,Z)-6,6-dibutyl-4,8,11-trioxo-5,7,12-trioxa-6-stannahexadeca-2,9-dienoate","239-596-4","15546-16-4",""
"butyl 2,4,5-trichlorophenoxyacetate","202-277-5","93-79-8",""
"cadmium (1,1-dimethylethyl)benzoate","250-515-1","31215-94-8",""
"cadmium (1-ethylhexyl) phthalate (1:2:2)","304-482-6","94275-93-1",""
"cadmium (Z)-hexadec-9-enoate","299-705-6","93894-10-1",""
"cadmium (non-pyrophoric)","231-152-8","7440-43-9",""
"cadmium (pyrophoric)","231-152-8","7440-43-9",""
"cadmium 3,5,5-trimethylhexanoate","252-918-8","36211-44-6",""
"cadmium 4-(1,1-dimethylethyl)benzoate","224-022-7","4167-05-9",""
"cadmium [R-(R*,R*)]-tartrate","251-827-0","34100-40-8",""
"cadmium acrylate","239-835-2","15743-19-8",""
"cadmium bis(2-ethylhexanoate)","219-346-0","2420-98-6",""
"cadmium bis(4-cyclohexylbutyrate)","259-767-7","55700-14-6",""
"cadmium bis(diethyldithiocarbamate)","238-113-4","14239-68-0",""
"cadmium bis(dipentyldithiocarbamate)","242-747-7","19010-65-2",""
"cadmium bis(heptadecanoate)","263-434-1","62149-56-8",""
"cadmium bis(isoundecanoate)","300-980-2","93965-30-1",""
"cadmium bis(nonylphenolate)","284-441-6","84878-48-8",""
"cadmium bis(o-nonylphenolate)","299-701-4","93894-07-6",""
"cadmium bis(octylphenolate)","284-444-2","84878-51-3",""
"cadmium bis(p-nonylphenolate)","299-703-5","93894-08-7",""
"cadmium bis(piperidine-1-carbodithioate)","239-025-9","14949-59-8",""
"cadmium bis[benzoate]","221-187-7","3026-22-0",""
"cadmium bis[p-(1,1,3,3-tetramethylbutyl)phenolate]","299-704-0","93894-09-8",""
"cadmium bromide","232-165-1","7789-42-6",""
"cadmium carbonate","208-168-9","513-78-0",""
"cadmium chloride","233-296-7","10108-64-2",""
"cadmium chloride, hydrate(2:5)","","7790-78-5",""
"cadmium chromate","238-252-0","14312-00-6",""
"cadmium cinnamate","224-509-4","4390-97-0",""
"cadmium cyanide","208-829-1","542-83-6",""
"cadmium di(acetate)","208-853-2","543-90-8",""
"cadmium di(octanoate)","218-585-8","2191-10-8",""
"cadmium dianthranilate","230-343-3","7058-55-1",""
"cadmium didecanoate","220-650-0","2847-16-7",""
"cadmium didocosanoate","251-927-4","34303-23-6",""
"cadmium diformate","224-729-0","4464-23-7",""
"cadmium diicosanoate","238-994-5","14923-81-0",""
"cadmium diisobutyl dimaleate","306-446-5","97259-82-0",""
"cadmium dilactate","240-181-5","16039-55-7",""
"cadmium dilaurate","220-017-9","2605-44-9",""
"cadmium dilinoleate","267-845-7","67939-62-2",""
"cadmium dimethylhexanoate","301-320-6","93983-65-4",""
"cadmium dinitrite","232-225-7","7790-83-2",""
"cadmium dioleate","233-954-3","10468-30-1",""
"cadmium dipalmitate","229-199-4","6427-86-7",""
"cadmium diphenolate","242-727-8","18991-05-4",""
"cadmium dipotassium tetracyanide","238-371-8","14402-75-6",""
"cadmium diricinoleate","237-544-5","13832-25-2",""
"cadmium disalicylate","242-749-8","19010-79-8",""
"cadmium distearate","218-743-6","2223-93-0",""
"cadmium disulphamate","237-832-0","14017-36-8",""
"cadmium ditantalum hexaoxide","235-561-2","12292-07-8",""
"cadmium dithiocyanate","212-738-2","865-38-3",""
"cadmium divalerate","260-498-2","56982-42-4",""
"cadmium divanadium hexoxide","240-203-3","16056-72-7",""
"cadmium dodecylbenzenesulphonate","250-433-6","31017-44-4",""
"cadmium epoxyoctadecanoate","247-560-4","26264-48-2",""
"cadmium fluoride","232-222-0","7790-79-6",""
"cadmium hydrogen phosphate","237-920-9","14067-62-0",""
"cadmium hydroxide","244-168-5","21041-95-2",""
"cadmium iodate","232-224-1","7790-81-0",""
"cadmium iodide","232-223-6","7790-80-9",""
"cadmium isodecanoate","300-973-4","93965-24-3",""
"cadmium isohexadecanoate","306-072-2","95892-12-9",""
"cadmium isononanoate","283-660-4","84696-56-0",""
"cadmium isooctadecanoate","284-428-5","84878-36-4",""
"cadmium isooctanoate","250-118-3","30304-32-6",""
"cadmium isooctyl phthalate (1:2:2)","304-193-5","94247-16-2",""
"cadmium lithopone yellow","292-386-4","90604-90-3",""
"cadmium m-toluate","268-458-6","68092-45-5",""
"cadmium methacrylate","246-183-2","24345-60-6",""
"cadmium molybdenum tetroxide","237-752-6","13972-68-4",""
"cadmium myristate","233-489-6","10196-67-5",""
"cadmium neodecanoate","263-352-6","61951-96-0",""
"cadmium nitrate","233-710-6","10325-94-7",""
"cadmium nonan-1-oate","225-839-1","5112-16-3",""
"cadmium o-toluate","257-860-7","52337-78-7",""
"cadmium octyl phthalate (1:2:2)","304-483-1","94275-94-2",""
"cadmium orthophosphate","237-581-7","13847-17-1",""
"cadmium oxalate","212-408-8","814-88-0",""
"cadmium oxide (non-pyrophoric)","215-146-2","1306-19-0",""
"cadmium p-toluate","219-345-5","2420-97-5",""
"cadmium pentadecanoate","264-124-9","63400-09-9",""
"cadmium potassium 1-(hydroxyethylidene)bisphosphonate(1:2:1)","273-906-9","69190-99-4",""
"cadmium propionate","241-066-2","16986-83-7",""
"cadmium sebacate","224-754-7","4476-04-4",""
"cadmium selenate","237-481-3","13814-62-5",""
"cadmium selenide sulphide","234-342-9","11112-63-3",""
"cadmium selenite","237-480-8","13814-59-0",""
"cadmium silicate","236-765-4","13477-19-5",""
"cadmium succinate","205-446-1","141-00-4",""
"cadmium sulfoselenide orange","235-758-3","12656-57-4",""
"cadmium sulphate","233-331-6","10124-36-4",""
"cadmium sulphate hydrate (3:8)","","7790-84-3",""
"cadmium sulphide","215-147-8","1306-23-6",""
"cadmium sulphite","236-767-5","13477-23-1",""
"cadmium telluride","215-149-9","1306-25-8",""
"cadmium tellurium tetraoxide","239-973-3","15852-14-9",""
"cadmium tellurium trioxide","239-963-9","15851-44-2",""
"cadmium tert-decanoate","284-429-0","84878-37-5",""
"cadmium tetrafluoroborate","238-490-5","14486-19-2",""
"cadmium tetrapentyl bis(phosphate)","303-977-4","94232-49-2",""
"cadmium titanium trioxide","234-593-4","12014-14-1",""
"cadmium toluate","248-480-2","27476-27-3",""
"cadmium wolframate","232-226-2","7790-85-4",""
"cadmium zinc lithopone yellow","292-385-9","90604-89-0",""
"cadmium zinc sulfide yellow","232-466-8","8048-07-5",""
"cadmium zinc sulphide","235-672-6","12442-27-2",""
"cadmium zirconium trioxide","235-251-7","12139-23-0",""
"cadmium(2+) (R)-12-hydroxyoctadecanoate","253-979-3","38517-19-0",""
"cadmium(2+) 12-hydroxyoctadecanoate","273-881-4","69121-20-6",""
"cadmiumhexafluorosilicate(2-)","241-084-0","17010-21-8",""
"calcium arsenate","231-904-5","7778-44-1",""
"carbonic acid, cadmium salt","298-586-8","93820-02-1",""
"cesium lead tribromide","","15243-48-8",""
"chlormerodrin","200-530-4","62-37-3",""
"chloro(hydroxyphenyl)mercury","215-308-2","1320-80-5",""
"chloro-1,1'-biphenyl","248-405-3","27323-18-8",""
"chloro-2-thienylmercury","227-481-1","5857-39-6",""
"chloro-m-tolylmercury","227-722-0","5955-19-1",""
"chloro-o-tolylmercury","220-469-7","2777-37-9",""
"chloro[p-[(2-hydroxy-1-naphthyl)azo]phenyl]mercury","221-358-6","3076-91-3",""
"chloromethylmercury","204-064-2","115-09-3",""
"chlorotricyclohexylstannane","221-437-5","3091-32-5",""
"chlorotriethylplumbane","213-925-1","1067-14-7",""
"chlorotrioctylstannane","219-969-8","2587-76-0",""
"chlorotriphenylplumbane","214-572-6","1153-06-6",""
"cis-1-Ethoxy-2-(tri-n-butylstannyl)ethylene","","64724-29-4",""
"citric acid, lead salt","238-432-9","14450-60-3",""
"cobalt arsenide","248-168-6","27016-73-5",""
"copper diarsenite","240-574-1","16509-22-1",""
"cyclo-di-.-oxo(.-phthalato)trilead","241-894-4","17976-43-1",""
"cyhexatin (ISO)","236-049-1","13121-70-5",""
"decabromo-1,1'-biphenyl","237-137-2","13654-09-6",""
"decachloro-1,1'-biphenyl","218-115-1","2051-24-3",""
"di(acetato-O)anilinemercury","264-306-8","63549-47-3",""
"di-o-tolylmercury","210-499-9","616-99-9",""
"di-p-tolylmercury","208-672-9","537-64-4",""
"diallyldibutylstannane","239-368-4","15336-98-8",""
"diaminobenzidine","202-110-6","91-95-2",""
"diammonium hydrogenarsenate","232-067-9","7784-44-3",""
"diammonium tetrachloromercurate","251-524-3","33445-15-7",""
"diantimony trilead octaoxide","236-845-9","13510-89-9",""
"diarsenic pentaoxide (obsolete)","215-116-9","1303-28-2",""
"diarsenic trioxide","215-481-4","1327-53-3",""
"diarsenic triselenide","215-119-5","1303-36-2",""
"diarsenic tritelluride","234-955-1","12044-54-1",""
"diboron tricadmium hexaoxide","237-225-0","13701-66-1",""
"dibutoxydibutylstannane","222-103-1","3349-36-8",""
"dibutylbis(dodecylthio)stannane","214-688-7","1185-81-5",""
"dibutylbis(myristoyloxy)stannane","249-134-3","28660-67-5",""
"dibutylbis(nonanoyloxy)stannane","247-367-5","25955-19-5",""
"dibutylbis(octadec-9(Z)-enoyloxy)stannane","236-359-7","13323-62-1",""
"dibutylbis(octadeca-9(Z),12(Z),15(Z)-trienoyloxy)stannane","306-050-2","95873-60-2",""
"dibutylbis(octadeca-9(Z),12(Z)-dienoyloxy)stannane","286-834-8","85391-79-3",""
"dibutylbis(octanoyloxy)stannane","225-236-3","4731-77-5",""
"dibutylbis(palmitoyloxy)stannane","236-360-2","13323-63-2",""
"dibutylbis(pentane-2,4-dionato-O,O')tin","245-152-0","22673-19-4",""
"dibutylbis(stearoyloxy)stannane","227-438-7","5847-55-2",""
"dibutylbis[(1-oxoneodecyl)oxy]stannane","246-702-2","25168-22-3",""
"dibutyldimethoxystannane","213-935-6","1067-55-6",""
"dibutyldiphenylstannane","229-256-3","6452-61-5",""
"dibutylthioxostannane","224-220-3","4253-22-9",""
"dibutyltin bis(2-ethylhexanoate)","220-481-2","2781-10-4",""
"dibutyltin di(acetate)","213-928-8","1067-33-0",""
"dibutyltin dichloride","211-670-0","683-18-1",""
"dibutyltin dilaurate","201-039-8","77-58-7",""
"dibutyltin maleate","201-077-5","78-04-6",""
"dibutyltin oxide","212-449-1","818-08-6",""
"dicadmium hexakis(cyano-C)ferrate(4-)","237-341-1","13755-33-4",""
"dicadmium niobate","235-357-3","12187-14-3",""
"dicadmium selenide sulphide","235-392-4","12214-12-9",""
"dichlorobiphenyl","247-061-1","25512-42-9",""
"dichromium arsenide","235-499-6","12254-85-2",""
"dicopper tetraiodomercurate","237-634-4","13876-85-2",""
"diethylammonium (2,4,5-trichlorophenoxy)acetate","245-897-1","23819-11-6",""
"diethylmercury","211-000-7","627-44-1",""
"digallium arsenide phosphide","234-948-3","12044-20-1",""
"dihydrogen [orthoborato(3-)-O]phenylmercurate(2-)","203-068-1","102-98-7",""
"diiodo(5-iodopyridin-2-amine-N1)mercury","298-602-3","93820-20-3",""
"diiodobis(5-iodopyridin-2-amine)mercury dihydroiodide","264-100-8","63325-16-6",""
"diiron arsenide","234-474-7","12005-88-8",""
"diisooctyl 2,2'-[(dibutylstannylene)bis(thio)]diacetate","246-703-8","25168-24-5",""
"diisooctyl 4,4'-[(dibutylstannylene)bis(oxy)]bis[4-oxoisocrotonate]","246-701-7","25168-21-2",""
"diisotridecyl 3,3'-[(dibutylstannylene)bis(thio)]dipropionate","284-461-5","84896-44-6",""
"dilead chromate oxide","242-339-9","18454-12-1",""
"dimercury amidatenitrate","215-187-6","1310-88-9",""
"dimercury di(acetate)","211-161-3","631-60-7",""
"dimercury dichloride","233-307-5","10112-91-1",""
"dimercury dicyanide oxide","215-629-8","1335-31-5",""
"dimercury difluoride","237-747-9","13967-25-4",""
"dimercury diiodide","239-409-6","15385-57-6",""
"dimercury dinitrate","233-886-4","10415-75-5",""
"dimercury sulphate","231-993-0","7783-36-0",""
"dimercury(I) oxalate","220-966-9","2949-11-3",""
