"CAS Registry Number","MITI Number","Chemical Substance Name","Properties","Endpoints"
"55720-41-7","4-317","1,2,3,7-Tetrachloronaphthalene","Existing chemical substances|Class I specified chemical substance","O"
"55720-42-8","4-317","1,3,6,7-Tetrachloronaphthalene","Existing chemical substances|Class I specified chemical substance","O"
"55720-43-9","4-317","1,4,6,7-Tetrachloronaphthalene","Existing chemical substances|Class I specified chemical substance","O"
"55720-44-0","","2,3,5-trichlorobiphenyl","Class I specified chemical substance","O"
"55722-26-4","","octachlorobiphenyl","Class I specified chemical substance","O"
"55816-17-6","2-3704","3-Methyldecan-4-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"55816-17-6","2-217","3-Methyldecan-4-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"55840-90-9","2-133","Mixture of  hexadecan-1-amine, octadecan-1-amine and tetradecan-1-amine","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"55840-90-9","2-176","Mixture of  hexadecan-1-amine, octadecan-1-amine and tetradecan-1-amine","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"55840-90-9","8-342","Mixture of  hexadecan-1-amine, octadecan-1-amine and tetradecan-1-amine","Priority Assessment Chemical Substances (PACSs)|","O"
"55840-90-9","2-185","Mixture of  hexadecan-1-amine, octadecan-1-amine and tetradecan-1-amine","Priority Assessment Chemical Substances (PACSs)|","O"
"55840-90-9","8-310","Mixture of  hexadecan-1-amine, octadecan-1-amine and tetradecan-1-amine","Priority Assessment Chemical Substances (PACSs)|","O"
"55868-72-9","3-985","Calcium bis(pentachlorophenolate)","Existing chemical substances|Class I specified chemical substance","O"
"56030-56-9","","(+-)-2,2',3,4,4',6-hexachlorobiphenyl","Class I specified chemical substance","O"
"56065-39-5","2-3704","2-Methyl-4-propylheptan-4-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"56065-39-5","2-217","2-Methyl-4-propylheptan-4-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"56307-79-0","4-18","Pentabromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"56314-72-8","2-217","4,7-Dimethylnonan-4-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"56314-72-8","2-3704","4,7-Dimethylnonan-4-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"56314-73-9","2-3704","2,3,6-Trimethyloctan-3-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"56314-73-9","2-217","2,3,6-Trimethyloctan-3-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"56314-74-0","2-3704","5,8-Dimethyldecan-5-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"56314-74-0","2-217","5,8-Dimethyldecan-5-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"56314-75-1","2-217","3,4,7-Trimethylnonan-4-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"56314-75-1","2-3704","3,4,7-Trimethylnonan-4-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"56314-76-2","2-217","3,6-Dimethylundecan-6-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"56314-76-2","2-3704","3,6-Dimethylundecan-6-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"56314-77-3","2-217","2,5,8-Trimethyldecan-5-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"56314-77-3","2-3704","2,5,8-Trimethyldecan-5-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"56323-17-2","2-2240","Bis(tributan-1-ylstannyl) 2,3-dibromosuccinate","Existing chemical substances|Class II specified chemical substance|","O"
"56534-03-3","","rel-(1R,4S,7S,8S,9S)-2,3,4,5,6,9-Hexachlorotricyclo[5.2.1.0(4,8)]deca-2,5-diene","Class I specified chemical substance","O"
"56558-16-8","","2,2',4,6,6'-pentachlorobiphenyl","Class I specified chemical substance","O"
"56558-17-9","","2,3',4,4',6-pentachlorobiphenyl","Class I specified chemical substance","O"
"56558-18-0","","2,3',4,5',6-pentachlorobiphenyl","Class I specified chemical substance","O"
"56595-19-8","","Thiazolium, 3-[(4-amino-2-methyl-5-pyrimidinyl)methyl]-5-(2-hydroxyethyl)-4-methyl-, dodecyl sulfate (1:1)","Priority Assessment Chemical Substances (PACSs)||","O"
"56619-62-6","7-97","alpha-Hydro-omega-(isononyloxy)poly(oxyethylene)","Priority Assessment Chemical Substances (PACSs)|","O"
"56641-38-4","","rel-(1R,4S,7S,8S,10S)-2,3,4,5,6,10-Hexachlorotricyclo[5.2.1.0(4,8)]deca-2,5-diene","Class I specified chemical substance","O"
"56773-42-3","","Tetraethylammonium perfluorooctane-1-sulfonate","Class I specified chemical substance","O"
"56780-58-6","","Starch,3,3'-oxybis(2-hydroxy-N,N,N-trimethylpropan-1-aminium) chloride","Priority Assessment Chemical Substances (PACSs)||","O"
"56863-02-6","2-827","(9Z,12Z)-N,N-Bis(2-hydroxyethyl)octadeca-9,12-dienamide","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"56863-02-6","8-311","(9Z,12Z)-N,N-Bis(2-hydroxyethyl)octadeca-9,12-dienamide","Priority Assessment Chemical Substances (PACSs)|","O"
"56863-02-6","7-87","(9Z,12Z)-N,N-Bis(2-hydroxyethyl)octadeca-9,12-dienamide","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"56863-02-6","2-814","(9Z,12Z)-N,N-Bis(2-hydroxyethyl)octadeca-9,12-dienamide","Priority Assessment Chemical Substances (PACSs)|","O"
"56863-02-6","2-2503","(9Z,12Z)-N,N-Bis(2-hydroxyethyl)octadeca-9,12-dienamide","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"57122-16-4","4-961","1,3-Diisopropylnaphthalene","Existing chemical substances|Monitoring Chemical Substances","O"
"57186-90-0","4-18","3,4'-Dibromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"57233-26-8","2-3704","3-Isopropyl-2,5-dimethylhexan-3-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"57233-26-8","2-217","3-Isopropyl-2,5-dimethylhexan-3-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"57233-29-1","2-217","4-Ethyl-2-methyloctan-4-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"57233-29-1","2-3704","4-Ethyl-2-methyloctan-4-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"57233-32-6","2-3704","2,3-Dimethyl-2-sec-butylpentan-1-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"57233-32-6","2-217","2,3-Dimethyl-2-sec-butylpentan-1-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"57422-77-2","4-18","2,5-Dibromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"57431-47-7","2-611","Sodium (E,E)-octadeca-9,12-dienoate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"57431-47-7","7-973","Sodium (E,E)-octadeca-9,12-dienoate","Priority Assessment Chemical Substances (PACSs)|","O"
"57465-28-8","","3,3',4,4',5-pentachlorobiphenyl","Class I specified chemical substance","O"
"57540-23-5","","Compound of 1H-benzotriazole and 2,2',2''-nitrilotriethanol","Priority Assessment Chemical Substances (PACSs)||","O"
"57592-59-3","","2,2',2''-Nitrilotriethanol mono(benzenesulfonate)","Priority Assessment Chemical Substances (PACSs)||","O"
"57671-19-9","","Compound of 2,3,4,6,7,8,9,10-octahydropyrimido[1,2-a]azepine and phenol","Priority Assessment Chemical Substances (PACSs)||","O"
"57678-02-1","","1-Octanol, 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluoro-, dihydrogen phosphate, compd. with 2,2'-iminobis[ethanol] (1:1)","Priority Assessment Chemical Substances (PACSs)||","O"
"57689-21-1","2-1679","Sodium (R)-decan-2-yl sulfate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"57912-86-4","4-67","4-Isopropenyl-1-methylcyclohex-1-ene dimer","Existing chemical substances|Monitoring Chemical Substances","O"
"58345-96-3","","Tetramethylammonium carbonate","Priority Assessment Chemical Substances (PACSs)||","O"
"58783-82-7","2-217","Tridecan-5-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"58783-82-7","2-3704","Tridecan-5-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"58863-14-2","","1,2,3,4,5,6,7-Heptachloronaphthalene","Class I specified chemical substance","O"
"58863-15-3","","1,2,3,4,5,6,8-Heptachloronaphthalene","Class I specified chemical substance","O"
"58877-88-6","","1,2,3,4,5,6-Hexachloronaphthalene","Class I specified chemical substance","O"
"59080-32-9","4-18","2,6-Dibromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"59080-33-0","4-18","2,4,6-Tribromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"59080-34-1","4-18","2,2',5-Tribromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"59080-35-2","4-18","2,3',5-Tribromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"59080-36-3","4-18","2,4',5-Tribromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"59080-37-4","4-18","2,2',5,5'-Tetrabromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"59080-38-5","4-18","2,3',4',5-Tetrabromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"59080-39-6","4-18","2,2',4,5',6-Pentabromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"59080-40-9","","2,2',4,4',5,5'-Hexabromobiphenyl","Class I specified chemical substance","O"
"59117-31-6","2-3704","5-Propyloctan-1-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"59117-31-6","2-217","5-Propyloctan-1-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"59138-84-0","","N,N,N-Trimethylmethanaminium formate","Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)||","O"
"59222-84-3","2-3704","2,9,9-Trimethyldecan-2-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"59222-84-3","2-217","2,9,9-Trimethyldecan-2-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"59261-08-4","","2,2',4,4',6,6'-Hexabromobiphenyl","Class I specified chemical substance","O"
"59272-84-3","2-2707","[Dimethyl(3-tetradecanamidopropyl)ammonio]acetate","Priority Assessment Chemical Substances (PACSs)|","O"
"59272-84-3","2-1290","[Dimethyl(3-tetradecanamidopropyl)ammonio]acetate","Priority Assessment Chemical Substances (PACSs)|","O"
"59272-84-3","9-2027","[Dimethyl(3-tetradecanamidopropyl)ammonio]acetate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"59291-64-4","","2,2',3,4,4',6'-hexachlorobiphenyl","Class I specified chemical substance","O"
"59291-65-5","","2,3',4,4',5',6-hexachlorobiphenyl","Class I specified chemical substance","O"
"59419-51-1","7-97","alpha-Hydro-omega-(tetradecan-7-yloxy)poly(oxyethylene)","Priority Assessment Chemical Substances (PACSs)|","O"
"59589-92-3","4-18","3,4,4',5-Tetrabromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"59707-21-0","","Compound of dioctyl hydrogen phosphate and 2,2'-iminodiethanol (1:1)","Priority Assessment Chemical Substances (PACSs)||","O"
"59779-45-2","","Dihydrazine phosphate","Priority Assessment Chemical Substances (PACSs)||","O"
"59965-28-5","","Compound of bis(2-ethylhexyl) phosphate with 2,2',2''-Nitrilotriethanol","Priority Assessment Chemical Substances (PACSs)||","O"
"59993-86-1","","Compound of  4-(tert-butyl)benzoate with 2,2',2''-Nitrilotriethanol","Priority Assessment Chemical Substances (PACSs)||","O"
"60044-24-8","4-18","2,2',4,5'-Tetrabromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"60044-25-9","4-18","2,2',5,6'-Tetrabromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"60044-26-0","","3,3',4,4',5,5'-Hexabromobiphenyl","Class I specified chemical substance","O"
"60085-15-6","8-342","Octadecanamine","Priority Assessment Chemical Substances (PACSs)|","O"
"60085-15-6","2-185","Octadecanamine","Priority Assessment Chemical Substances (PACSs)|","O"
"60085-15-6","8-310","Octadecanamine","Priority Assessment Chemical Substances (PACSs)|","O"
"60085-15-6","2-176","Octadecanamine","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"60085-15-6","2-133","Octadecanamine","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"60108-72-7","4-18","3,4-Dibromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"60145-20-2","","2,2',3,3',5-pentachlorobiphenyl","Class I specified chemical substance","O"
"60145-21-3","","2,2',4,5',6-pentachlorobiphenyl","Class I specified chemical substance","O"
"60145-22-4","","2,2',4,4',5,6'-hexachlorobiphenyl","Class I specified chemical substance","O"
"60145-23-5","","2,2',3,4,4',5,6'-heptachlorobiphenyl","Class I specified chemical substance","O"
"60233-24-1","","2,3',4,6-tetrachlorobiphenyl","Class I specified chemical substance","O"
"60233-25-2","","2,2',3,4',6'-pentachlorobiphenyl","Class I specified chemical substance","O"
"60348-60-9","","1,2,4-Tribromo-5-(2,4-dibromophenoxy)benzene","Class I specified chemical substance","O"
"60376-08-1","2-4162","Tripotassium hydrogen (1-hydroxyethane-1,1-diyl)bis(phosphonate)","Priority Assessment Chemical Substances (PACSs)|","O"
"60376-08-1","2-2936","Tripotassium hydrogen (1-hydroxyethane-1,1-diyl)bis(phosphonate)","Priority Assessment Chemical Substances (PACSs)|","O"
"60564-75-2","2-217","3-Isopropyl-6-methylheptan-1-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"60564-75-2","2-3704","3-Isopropyl-6-methylheptan-1-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"60564-77-4","2-3704","4-Isopropyl-7-methyloctan-1-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"60564-77-4","2-217","4-Isopropyl-7-methyloctan-1-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"60564-79-6","2-3704","5-Isopropylnonan-1-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"60564-79-6","2-217","5-Isopropylnonan-1-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"60636-37-5","7-97","Poly(oxyethylene) 2-butyloctyl ether","Priority Assessment Chemical Substances (PACSs)|","O"
"60671-33-2","2-3704","2,3-Dimethylnonan-2-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"60671-33-2","2-217","2,3-Dimethylnonan-2-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"60671-34-3","2-217","5-Methylundecan-4-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"60671-34-3","2-3704","5-Methylundecan-4-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"60671-35-4","2-3704","2-Propyldecan-1-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"60671-35-4","2-217","2-Propyldecan-1-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"60671-36-5","2-3704","2-Methylundecan-3-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"60671-36-5","2-217","2-Methylundecan-3-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"60671-37-6","2-217","2,4-Dimethyldecan-3-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"60671-37-6","2-3704","2,4-Dimethyldecan-3-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"60828-78-6","7-97","Poly(oxy-1,2-ethanediyl), .alpha.-[3,5-dimethyl-1-(2-methylpropyl)hexyl]-.omega.-hydroxy-","Priority Assessment Chemical Substances (PACSs)|","O"
"61016-57-7","","Ethyl(dihexadecyl)(methyl)ammonium ethyl sulfate","Priority Assessment Chemical Substances (PACSs)||","O"
"61542-02-7","","2,2',2''-Nitrilotriethanol sulfite","Priority Assessment Chemical Substances (PACSs)||","O"
"61596-15-4","","1-Ethyl-2-[(Z)-8-heptadecen-1-yl]-1-(2-hydroxyethyl)-4,5-dihydro-1H-imidazol-1-ium, ethyl sulfate","Priority Assessment Chemical Substances (PACSs)||","O"
"61652-79-7","","Ammonium tetradecane-1-sulfonate","Priority Assessment Chemical Substances (PACSs)||","O"
"61788-32-7","4-41","Hydrogenated terphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"61788-45-2","2-176","Hydrogenated tallow-alkylamines","Priority Assessment Chemical Substances (PACSs)|","O"
"61788-45-2","8-310","Hydrogenated tallow-alkylamines","Priority Assessment Chemical Substances (PACSs)|","O"
"61788-45-2","2-185","Hydrogenated tallow-alkylamines","Priority Assessment Chemical Substances (PACSs)|","O"
"61788-45-2","2-133","Hydrogenated tallow-alkylamines","Priority Assessment Chemical Substances (PACSs)|","O"
"61788-45-2","8-342","Hydrogenated tallow-alkylamines","Priority Assessment Chemical Substances (PACSs)|","O"
"61788-46-3","8-310","Coco-alkylamines","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"61788-46-3","2-185","Coco-alkylamines","Priority Assessment Chemical Substances (PACSs)|","O"
"61788-46-3","2-133","Coco-alkylamines","Priority Assessment Chemical Substances (PACSs)|","O"
"61788-46-3","2-176","Coco-alkylamines","Priority Assessment Chemical Substances (PACSs)|","O"
"61788-46-3","8-342","Coco-alkylamines","Priority Assessment Chemical Substances (PACSs)|","O"
"61788-76-9","2-68","Chloroalkanes","Class I specified chemical substance|Priority Assessment Chemical Substances (PACSs)||","O"
"61788-90-7","2-198","Coco-alkyl(dimethyl)amine oxides","Priority Assessment Chemical Substances (PACSs)|","O"
"61788-93-0","2-176","(Coco-alkyl)dimethylamines","Priority Assessment Chemical Substances (PACSs)|","O"
"61788-95-2","2-176","(Hydrogenated tallow-alkyl)dimethylamines","Priority Assessment Chemical Substances (PACSs)|","O"
"61788-97-4","7-1283","Epoxy resins","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Priority Assessment Chemical Substances (PACSs)|","O"
"61788-97-4","7-1279","Epoxy resins","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Priority Assessment Chemical Substances (PACSs)|","O"
"61789-28-4","9-1735","Creosote oil","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"61789-30-8","2-611","Potassium salt of coco fatty acids","Priority Assessment Chemical Substances (PACSs)|","O"
"61789-30-8","9-1677","Potassium salt of coco fatty acids","Priority Assessment Chemical Substances (PACSs)|","O"
"61789-31-9","2-611","Sodium salt of coco fatty acids","Priority Assessment Chemical Substances (PACSs)|","O"
"61789-31-9","7-973","Sodium salt of coco fatty acids","Priority Assessment Chemical Substances (PACSs)|","O"
"61789-40-0","2-2707","1-Propanaminium, 3-amino-N-(carboxymethyl)-N,N-dimethyl-, N-coco acyl derivs., inner salts","Priority Assessment Chemical Substances (PACSs)|","O"
"61789-40-0","9-2027","1-Propanaminium, 3-amino-N-(carboxymethyl)-N,N-dimethyl-, N-coco acyl derivs., inner salts","Priority Assessment Chemical Substances (PACSs)|","O"
"61789-40-0","2-1290","1-Propanaminium, 3-amino-N-(carboxymethyl)-N,N-dimethyl-, N-coco acyl derivs., inner salts","Priority Assessment Chemical Substances (PACSs)||","O"
"61789-60-4","9-1744","Pitch","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"61789-89-7","2-611","Sodium salt of palm kernel oil fatty acids","Priority Assessment Chemical Substances (PACSs)|","O"
"61789-89-7","7-973","Sodium salt of palm kernel oil fatty acids","Priority Assessment Chemical Substances (PACSs)|","O"
"61790-18-9","8-342","Soya alkyl amines","Priority Assessment Chemical Substances (PACSs)|","O"
"61790-18-9","8-310","Soya alkyl amines","Priority Assessment Chemical Substances (PACSs)|","O"
"61790-18-9","2-133","Soya alkyl amines","Priority Assessment Chemical Substances (PACSs)|","O"
"61790-18-9","2-176","Soya alkyl amines","Priority Assessment Chemical Substances (PACSs)|","O"
"61790-18-9","2-185","Soya alkyl amines","Priority Assessment Chemical Substances (PACSs)|","O"
"61790-32-7","9-1677","Potassium salt of tallow fatty acids","Priority Assessment Chemical Substances (PACSs)|","O"
"61790-32-7","2-611","Potassium salt of tallow fatty acids","Priority Assessment Chemical Substances (PACSs)|","O"
"61790-33-8","2-185","Tallow alkyl amines","Priority Assessment Chemical Substances (PACSs)|","O"
"61790-33-8","8-310","Tallow alkyl amines","Priority Assessment Chemical Substances (PACSs)|","O"
"61790-33-8","2-133","Tallow alkyl amines","Priority Assessment Chemical Substances (PACSs)|","O"
"61790-33-8","8-342","Tallow alkyl amines","Priority Assessment Chemical Substances (PACSs)|","O"
"61790-33-8","2-176","Tallow alkyl amines","Priority Assessment Chemical Substances (PACSs)|","O"
"61790-44-1","9-1677","Potassium salts of tall oil fatty acids","Priority Assessment Chemical Substances (PACSs)|","O"
"61790-44-1","2-611","Potassium salts of tall oil fatty acids","Priority Assessment Chemical Substances (PACSs)|","O"
"61790-45-2","7-973","Sodium salt of tall oil fatty acids","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"61790-45-2","2-611","Sodium salt of tall oil fatty acids","Priority Assessment Chemical Substances (PACSs)|","O"
"61790-66-7","","Compound of 2,2'-iminodiethanol and tall oil fatty acid","Priority Assessment Chemical Substances (PACSs)||","O"
"61790-79-2","2-611","Sodium salt of palm oil fatty acids","Priority Assessment Chemical Substances (PACSs)|","O"
"61790-79-2","7-973","Sodium salt of palm oil fatty acids","Priority Assessment Chemical Substances (PACSs)|","O"
"61791-08-0","7-264","Ethoxylated (reaction product of 2-aminoethanol and coco fatty acids)","Priority Assessment Chemical Substances (PACSs)|","O"
"61791-13-7","7-97","Ethoxylated coco alcohols","Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)|","O"
"61791-21-7","7-97","Ethoxylated sperm oil alcohols","Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)|","O"
"61791-28-4","7-97","Ethoxylated tallow alcohols","Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)|","O"
"61798-70-7","","2,2',3,3',4,6-hexachlorobiphenyl","Class I specified chemical substance","O"
"61827-42-7","7-97","alpha-Hydro-omega-(isodecyloxy)poly(oxyethylene)","Priority Assessment Chemical Substances (PACSs)|","O"
"61837-80-7","","Compound of [alpha-dodecyl-omega-hydroxypoly(oxyethylene) phosphate] and 2,2'-iminodiethanol","Priority Assessment Chemical Substances (PACSs)||","O"
"62101-31-9","2-217","3-Ethylundecan-3-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"62101-31-9","2-3704","3-Ethylundecan-3-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"62101-32-0","2-217","4-Propyldecan-4-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"62101-32-0","2-3704","4-Propyldecan-4-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"62101-33-1","2-3704","3,4,6,8-Tetramethylnonan-4-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"62101-33-1","2-217","3,4,6,8-Tetramethylnonan-4-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"62314-25-4","","2-Hydroxy-N,N,N-trimethylpropan-1-aminium formate","Priority Assessment Chemical Substances (PACSs)||","O"
"62386-97-4","","Compound of N,N-diethylethanamine and (polymer of butyl acrylate / methacrylic acid / methyl methacrylate)","Priority Assessment Chemical Substances (PACSs)||","O"
"62461-62-5","","2,4,4'(or 3,4,4')-trichlorobiphenyl","Class I specified chemical substance","O"
"62763-71-7","","Compound of hexadecyl dihydrogen phosphate and 2,2',2''-nitrilotriethanol (1:2)","Priority Assessment Chemical Substances (PACSs)||","O"
"62796-65-0","","2,2',4,6-tetrachlorobiphenyl","Class I specified chemical substance","O"
"62916-82-9","2-611","Potassium undecanoate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"62916-82-9","9-1677","Potassium undecanoate","Priority Assessment Chemical Substances (PACSs)|","O"
"62958-39-8","2-217","4-Ethylnonan-4-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"62958-39-8","2-3704","4-Ethylnonan-4-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"62958-40-1","2-217","6-Methyldodecan-6-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"62958-40-1","2-3704","6-Methyldodecan-6-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"62958-41-2","2-217","5-Propyldecan-5-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"62958-41-2","2-3704","5-Propyldecan-5-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"63393-82-8","2-217","Alcohols(C=12-15)","Priority Assessment Chemical Substances (PACSs)|","O"
"63393-82-8","2-3704","Alcohols(C=12-15)","Priority Assessment Chemical Substances (PACSs)|","O"
"63428-87-5","7-155","Sodium alpha-decyl-omega-(sulfonatooxy)poly(oxyethylene)","Priority Assessment Chemical Substances (PACSs)|","O"
"63449-39-8","2-68","Paraffin waxes and Hydrocarbon waxes, chloro","Class I specified chemical substance||","O"
"63541-45-7","9-1677","Potassium octadecenoate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"63541-45-7","2-611","Potassium octadecenoate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"63981-28-2","2-68","1,1,1,2-Tetrachloroundecane","Existing chemical substances|Class I specified chemical substance|","O"
"64000-88-0","","N,N,N-Trimethylmethanaminium decanoate","Priority Assessment Chemical Substances (PACSs)||","O"
"64029-94-3","2-3704","2,5,8-Trimethylnonan-5-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"64029-94-3","2-217","2,5,8-Trimethylnonan-5-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"64258-02-2","4-18","2,4,4',6-Tetrabromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"64258-03-3","4-18","2,4',6-Tribromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"64339-50-0","","2,2'-Iminodiethanol 4-methylbenzenesulfonate","Priority Assessment Chemical Substances (PACSs)||","O"
"64346-12-9","","Compound of octadecyl dihydrogen phosphate and 2,2'-iminodiethanol (1:1)","Priority Assessment Chemical Substances (PACSs)||","O"
"64346-13-0","","Compound of 2,2'-iminodiethanol and octadecyl hydrogen sulfate (1:1)","Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)||","O"
"64346-58-3","","Compound of dodecyl dihydrogen phosphate and morpholine (1:1)","Priority Assessment Chemical Substances (PACSs)||","O"
"64359-81-5","5-6165","4,5-dichloro-2-octyl-2H-isothiazol-3-one","Designated (before amendment)|Priority Assessment Chemical Substances (PACSs)|","O"
"64415-24-3","7-97","alpha-Hexadecadien-1-yl-omega-hydroxypoly(oxyethylene)","Priority Assessment Chemical Substances (PACSs)|","O"
"64440-88-6","2-1848","mu-(N,N'-Ethylenedicarbamodithioato-1kappa(2)S:2kappa(2)S)bis[(N,N-dimethylcarbamodithioato-kappa(2)S)zinc(II)]","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
